amenity_id,station_id,type,icon,map_id
1,6861,Restroom,https://statiq-images-prod.s3.ap-south-1.amazonaws.com/amenities_icons/restroom.png,11950
2,6861,Cafe,https://d3orevttu06iqr.cloudfront.net/amenities_icons/cafe.png,11951
5,6861,Lodging,https://d3orevttu06iqr.cloudfront.net/amenities_icons/lodging.png,11952
1,6863,Restroom,https://statiq-images-prod.s3.ap-south-1.amazonaws.com/amenities_icons/restroom.png,11953
2,6863,Cafe,https://d3orevttu06iqr.cloudfront.net/amenities_icons/cafe.png,11954
2,6867,Cafe,https://d3orevttu06iqr.cloudfront.net/amenities_icons/cafe.png,13263
1,6882,Restroom,https://statiq-images-prod.s3.ap-south-1.amazonaws.com/amenities_icons/restroom.png,12894
2,6885,Cafe,https://d3orevttu06iqr.cloudfront.net/amenities_icons/cafe.png,13274
1,6891,Restroom,https://statiq-images-prod.s3.ap-south-1.amazonaws.com/amenities_icons/restroom.png,11956
2,6891,Cafe,https://d3orevttu06iqr.cloudfront.net/amenities_icons/cafe.png,11957
5,6891,Lodging,https://d3orevttu06iqr.cloudfront.net/amenities_icons/lodging.png,11958
2,6892,Cafe,https://d3orevttu06iqr.cloudfront.net/amenities_icons/cafe.png,13271
2,6895,Cafe,https://d3orevttu06iqr.cloudfront.net/amenities_icons/cafe.png,13258
1,6938,Restroom,https://statiq-images-prod.s3.ap-south-1.amazonaws.com/amenities_icons/restroom.png,11961
1,6945,Restroom,https://statiq-images-prod.s3.ap-south-1.amazonaws.com/amenities_icons/restroom.png,13485
6,6945,Wifi,https://d3orevttu06iqr.cloudfront.net/amenities_icons/wifi+.png,13486
1,6946,Restroom,https://statiq-images-prod.s3.ap-south-1.amazonaws.com/amenities_icons/restroom.png,11962
1,6948,Restroom,https://statiq-images-prod.s3.ap-south-1.amazonaws.com/amenities_icons/restroom.png,11963
1,6950,Restroom,https://statiq-images-prod.s3.ap-south-1.amazonaws.com/amenities_icons/restroom.png,11964
2,6950,Cafe,https://d3orevttu06iqr.cloudfront.net/amenities_icons/cafe.png,11965
6,6950,Wifi,https://d3orevttu06iqr.cloudfront.net/amenities_icons/wifi+.png,11966
3,6950,Store,https://d3orevttu06iqr.cloudfront.net/amenities_icons/store.png,11967
1,6971,Restroom,https://statiq-images-prod.s3.ap-south-1.amazonaws.com/amenities_icons/restroom.png,11968
2,6971,Cafe,https://d3orevttu06iqr.cloudfront.net/amenities_icons/cafe.png,11969
3,6971,Store,https://d3orevttu06iqr.cloudfront.net/amenities_icons/store.png,11970
4,6971,Car Care,https://d3orevttu06iqr.cloudfront.net/amenities_icons/car+care+(1).png,11971
5,6971,Lodging,https://d3orevttu06iqr.cloudfront.net/amenities_icons/lodging.png,11972
6,6971,Wifi,https://d3orevttu06iqr.cloudfront.net/amenities_icons/wifi+.png,11973
2,7011,Cafe,https://d3orevttu06iqr.cloudfront.net/amenities_icons/cafe.png,13250
2,7051,Cafe,https://d3orevttu06iqr.cloudfront.net/amenities_icons/cafe.png,13268
2,7052,Cafe,https://d3orevttu06iqr.cloudfront.net/amenities_icons/cafe.png,13270
2,7054,Cafe,https://d3orevttu06iqr.cloudfront.net/amenities_icons/cafe.png,13248
1,7062,Restroom,https://statiq-images-prod.s3.ap-south-1.amazonaws.com/amenities_icons/restroom.png,13416
3,7062,Store,https://d3orevttu06iqr.cloudfront.net/amenities_icons/store.png,13417
1,7188,Restroom,https://statiq-images-prod.s3.ap-south-1.amazonaws.com/amenities_icons/restroom.png,13348
2,7188,Cafe,https://d3orevttu06iqr.cloudfront.net/amenities_icons/cafe.png,13349
5,7188,Lodging,https://d3orevttu06iqr.cloudfront.net/amenities_icons/lodging.png,13350
