charger_id,station_id,charger_name,type,power_rating_kw,price,currency,symbol,price_display,last_used_on,connector_count,available_connector_count
62581,11709,CJK Behind Mohan Dev Building Parking Area 2,AC,9.0,15.0,INR,₹,₹ 15.0,21/01/2026,3,2
62575,11710,CJK Nehru Place 1,AC,9.0,15.0,INR,₹,₹ 15.0,09/02/2026,3,3
62588,11710,CJK Nehru Place 2,AC,9.0,15.0,INR,₹,₹ 15.0,01/04/2026,3,3
68101,11710,CJK Nehru Place 3,AC,9.0,15.0,INR,₹,₹ 15.0,13/05/2026,3,3
62577,11711,CJK Paschim Vihar West 1,AC,9.0,15.0,INR,₹,₹ 15.0,17/05/2026,3,2
62589,11711,CJK Paschim Vihar West 2,AC,9.0,15.0,INR,₹,₹ 15.0,18/05/2026,3,0
62578,11712,CJK NH8 4 Opp Satpura Mess IIT 1,AC,9.0,15.0,INR,₹,₹ 15.0,18/05/2026,3,3
68102,11712,CJK NH8 4 Opp Satpura Mess IIT 2,AC,7.0,15.0,INR,₹,₹ 15.0,,1,0
62580,11713,CJK NEAR QUTUB MINAR ROAD 1,AC,9.0,15.0,INR,₹,₹ 15.0,30/04/2026,3,3
62590,11713,CJK NEAR QUTUB MINAR ROAD 2,AC,9.0,7.99,INR,₹,₹ 7.99,02/01/2026,3,0
62583,11714,CJK Hauz khas telephone exchange 1,AC,9.0,15.0,INR,₹,₹ 15.0,30/10/2025,3,3
62594,11714,CJK Hauz khas telephone exchange 2,AC,9.0,15.0,INR,₹,₹ 15.0,,3,3
62585,11715,CJK SAPNA CINEMA 1,AC,9.0,15.0,INR,₹,₹ 15.0,08/05/2026,3,2
62596,11715,CJK SAPNA CINEMA 2,AC,9.0,15.0,INR,₹,₹ 15.0,19/05/2026,3,0
62587,11716,CJK Ashram 1,AC,9.0,15.0,INR,₹,₹ 15.0,20/05/2026,3,0
62595,11716,CJK Ashram 2,AC,9.0,15.0,INR,₹,₹ 15.0,20/05/2026,3,0
62586,11717,CJK TIS HAZARI 1,AC,9.0,15.0,INR,₹,₹ 15.0,14/05/2026,3,0
62593,11717,CJK TIS HAZARI 2,AC,9.0,15.0,INR,₹,₹ 15.0,21/05/2026,3,2
62591,11718,CJK Sheikh sarai 1,AC,9.0,15.0,INR,₹,₹ 15.0,18/05/2026,3,3
62604,11718,CJK Sheikh sarai 2,AC,9.0,15.0,INR,₹,₹ 15.0,05/02/2026,3,0
62592,11719,CJK Kanak Chowk Pared Ground near Sulabh Sauchalay DC 1,DC,60.0,25.0,INR,₹,₹ 25.0,,1,1
62610,11720,CJK Infront of Patel Park near Clock Tower 2,DC,60.0,25.0,INR,₹,₹ 25.0,,1,1
62597,11720,CJK Infront of Patel Park near Clock Tower 1,AC,9.0,18.0,INR,₹,₹ 18.0,19/05/2026,3,2
67587,11720,CJK Infront of Patel Park near Clock Tower 3,AC,9.0,18.0,INR,₹,₹ 18.0,10/05/2026,3,3
62598,11721,CJK Gulabi Bagh 3108 1,AC,9.0,15.0,INR,₹,₹ 15.0,28/04/2026,3,2
62607,11721,CJK Gulabi Bagh 3108 2,AC,9.0,15.0,INR,₹,₹ 15.0,21/04/2026,3,3
62600,11722,CJK RTR MARG 1 1,AC,9.0,15.0,INR,₹,₹ 15.0,11/05/2026,3,3
68376,11722,CJK RTR MARG 1 2,AC,3.0,15.0,INR,₹,₹ 15.0,,1,0
62599,11723,CJK Maharaja Agrasen Hospital 1,AC,9.0,15.0,INR,₹,₹ 15.0,16/12/2025,3,3
62613,11723,CJK Maharaja Agrasen Hospital 2,AC,9.0,15.0,INR,₹,₹ 15.0,30/04/2026,3,0
62602,11724,CJK GK Nala 1,AC,9.0,15.0,INR,₹,₹ 15.0,09/05/2026,3,2
62614,11724,CJK GK Nala 2,AC,9.0,15.0,INR,₹,₹ 15.0,,3,2
62605,11725,CJK Near Govt School MG Road 1,AC,9.0,15.0,INR,₹,₹ 15.0,27/04/2026,3,0
62619,11725,CJK Near Govt School MG Road 2,AC,9.0,15.0,INR,₹,₹ 15.0,30/04/2026,3,3
62603,11726,CJK Okhla 1,AC,9.0,15.0,INR,₹,₹ 15.0,,3,3
62612,11726,CJK Okhla 2,AC,9.0,15.0,INR,₹,₹ 15.0,28/04/2026,3,0
68370,11726,CJK Okhla 3,AC,3.0,15.0,INR,₹,₹ 15.0,,1,1
62606,11727,CJK Near Gandhi Park  DC 1,DC,60.0,25.0,INR,₹,₹ 25.0,,1,0
62608,11728,CJK IIT 1,AC,9.0,15.0,INR,₹,₹ 15.0,27/09/2025,3,0
62609,11729,CJK Satya Park 1,AC,9.0,15.0,INR,₹,₹ 15.0,19/05/2026,3,3
62621,11729,CJK Satya Park 2,AC,9.0,15.0,INR,₹,₹ 15.0,21/05/2026,3,3
212,1173,Hotel Krishna Hansraj Una DC Charger,DC,20.0,21.99,INR,₹,₹ 21.99,21/05/2026,1,0
62611,11730,CJK Pamposh 1,AC,9.0,15.0,INR,₹,₹ 15.0,19/05/2026,3,0
62624,11730,CJK Pamposh 2,AC,0.0,15.0,INR,₹,₹ 15.0,,1,1
