station_id,connector_type_id,connector_name,connector_image_url
10608,5,Wall,https://d3orevttu06iqr.cloudfront.net/connector_images/type-1.png
10609,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10610,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10611,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10612,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10613,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10614,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10615,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10616,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10617,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10618,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10619,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10620,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10620,5,Wall,https://d3orevttu06iqr.cloudfront.net/connector_images/type-1.png
10621,5,Wall,https://d3orevttu06iqr.cloudfront.net/connector_images/type-1.png
10622,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10622,5,Wall,https://d3orevttu06iqr.cloudfront.net/connector_images/type-1.png
10623,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10624,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10624,5,Wall,https://d3orevttu06iqr.cloudfront.net/connector_images/type-1.png
10625,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10625,3,Type-2,https://d3orevttu06iqr.cloudfront.net/connector_images/type-2.png
10626,5,Wall,https://d3orevttu06iqr.cloudfront.net/connector_images/type-1.png
10627,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10627,5,Wall,https://d3orevttu06iqr.cloudfront.net/connector_images/type-1.png
10629,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10633,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10717,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10718,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10720,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10721,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10722,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10723,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10724,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10725,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10727,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10728,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10729,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10730,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10731,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10732,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10733,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10734,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10735,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10736,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10737,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10738,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10739,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10740,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10741,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
