station_id,station_name,address,latitude,longitude,access_type,is_community_listed,map_pin_url,focused_map_pin_url
10803,ATRIUM EV,,12.1937,75.1448,1,0,https://d3orevttu06iqr.cloudfront.net/charging-pin/normal+pin.png,https://d3orevttu06iqr.cloudfront.net/charging-pin/Statiq+selected.png
10804,MAK FUELS,,16.986138,79.956473,1,0,https://d3orevttu06iqr.cloudfront.net/charging-pin/unavailable.png,https://d3orevttu06iqr.cloudfront.net/charging-pin/unavailable.png
10805,M/S.GANESH FILLING STATION,,16.972505,80.020037,1,0,https://d3orevttu06iqr.cloudfront.net/charging-pin/unavailable.png,https://d3orevttu06iqr.cloudfront.net/charging-pin/unavailable.png
10806,GURUNANAK HIGHWAY FUELS,,28.895218,79.54737,1,0,https://d3orevttu06iqr.cloudfront.net/charging-pin/unavailable.png,https://d3orevttu06iqr.cloudfront.net/charging-pin/unavailable.png
10808,Shukla Ashar & Co,,22.335326,70.856289,1,0,https://d3orevttu06iqr.cloudfront.net/charging-pin/unavailable.png,https://d3orevttu06iqr.cloudfront.net/charging-pin/unavailable.png
10810,SRI SAI BALAJI FILLING STATION,,17.18048,80.391923,1,0,https://d3orevttu06iqr.cloudfront.net/charging-pin/unavailable.png,https://d3orevttu06iqr.cloudfront.net/charging-pin/unavailable.png
10811,SHAHID FILLING STATION,,29.160741,79.522616,1,0,https://d3orevttu06iqr.cloudfront.net/charging-pin/unavailable.png,https://d3orevttu06iqr.cloudfront.net/charging-pin/unavailable.png
10812,Fortune Sonthalia by SSI - Adya Energy,,17.385654,78.33212,1,0,https://d3orevttu06iqr.cloudfront.net/charging-pin/normal+pin.png,https://d3orevttu06iqr.cloudfront.net/charging-pin/Statiq+selected.png
10813,PADGA,,19.3569,73.1566,1,0,https://d3orevttu06iqr.cloudfront.net/charging-pin/unavailable.png,https://d3orevttu06iqr.cloudfront.net/charging-pin/unavailable.png
10815,JAYA RAVI FILLING STATION,,17.200695,80.63997,1,0,https://d3orevttu06iqr.cloudfront.net/charging-pin/BPCL+-+default.png,https://d3orevttu06iqr.cloudfront.net/charging-pin/BPCL-+selected.png
10816,JAMBHO JI HIGHWAY FUEL STATION,,29.244559,78.883983,1,0,https://d3orevttu06iqr.cloudfront.net/charging-pin/BPCL+-+default.png,https://d3orevttu06iqr.cloudfront.net/charging-pin/BPCL-+selected.png
10817,LEELAWATI FILLING STATION,,29.307,78.79055,1,0,https://d3orevttu06iqr.cloudfront.net/charging-pin/BPCL+-+default.png,https://d3orevttu06iqr.cloudfront.net/charging-pin/BPCL-+selected.png
10818,INDIRA PETROLEUM,,17.23745,80.2416,1,0,https://d3orevttu06iqr.cloudfront.net/charging-pin/unavailable.png,https://d3orevttu06iqr.cloudfront.net/charging-pin/unavailable.png
10819,JAI KRISHNAA AUTO SERVICES,,17.24376,80.103404,1,0,https://d3orevttu06iqr.cloudfront.net/charging-pin/BPCL+-+default.png,https://d3orevttu06iqr.cloudfront.net/charging-pin/BPCL-+selected.png
10820,Bp kelawade,,18.272471,73.878732,1,0,https://d3orevttu06iqr.cloudfront.net/charging-pin/unavailable.png,https://d3orevttu06iqr.cloudfront.net/charging-pin/unavailable.png
10821,LAXMI SHIVA FILLING STATION,,17.408252,79.872937,1,0,https://d3orevttu06iqr.cloudfront.net/charging-pin/unavailable.png,https://d3orevttu06iqr.cloudfront.net/charging-pin/unavailable.png
10822,SALASAR AUTO SERVICE,,27.721991,74.71997,1,0,https://d3orevttu06iqr.cloudfront.net/charging-pin/unavailable.png,https://d3orevttu06iqr.cloudfront.net/charging-pin/unavailable.png
10823,RAKESH FILLING STATION,,30.432975,77.756036,1,0,https://d3orevttu06iqr.cloudfront.net/charging-pin/BPCL+-+default.png,https://d3orevttu06iqr.cloudfront.net/charging-pin/BPCL-+selected.png
10824,SHIV FILLING STATION,,30.284087,77.993437,1,0,https://d3orevttu06iqr.cloudfront.net/charging-pin/BPCL+-+default.png,https://d3orevttu06iqr.cloudfront.net/charging-pin/BPCL-+selected.png
10825,THE TAJ PALACE. EcoCharge Oasis,,29.108311,75.750683,1,0,https://d3orevttu06iqr.cloudfront.net/charging-pin/normal+pin.png,https://d3orevttu06iqr.cloudfront.net/charging-pin/Statiq+selected.png
10827,EESL Statiq Khanna Market Station 1,,28.580623,77.22102,1,0,https://d3orevttu06iqr.cloudfront.net/branding_logo/offline-pin/unavailable+pin.png,https://statiq-images-prod.s3.ap-south-1.amazonaws.com/branding_logo/offline-pin/unavailable+pin.png
10828,EESL Statiq Khanna Market Station 2,,28.584557,77.220445,1,0,https://d3orevttu06iqr.cloudfront.net/branding_logo/offline-pin/unavailable+pin.png,https://statiq-images-prod.s3.ap-south-1.amazonaws.com/branding_logo/offline-pin/unavailable+pin.png
10829,Maple Drive EV Charging Station - Euler Motors Raipur,,21.233625,81.596074,1,0,https://d3orevttu06iqr.cloudfront.net/branding_logo/offline-pin/unavailable+pin.png,https://statiq-images-prod.s3.ap-south-1.amazonaws.com/branding_logo/offline-pin/unavailable+pin.png
10830,ASHIRWAD FILLING STATION,,30.342773,78.395294,1,0,https://d3orevttu06iqr.cloudfront.net/charging-pin/unavailable.png,https://d3orevttu06iqr.cloudfront.net/charging-pin/unavailable.png
10831,"IDL Lake opposite to Ashoka one Mall, Moosapet",,17.479856,78.416919,1,0,https://d3orevttu06iqr.cloudfront.net/branding_logo/offline-pin/unavailable+pin.png,https://statiq-images-prod.s3.ap-south-1.amazonaws.com/branding_logo/offline-pin/unavailable+pin.png
10832,Highway Glory,,21.886396,77.904562,1,0,https://d3orevttu06iqr.cloudfront.net/charging-pin/BPCL+-+default.png,https://d3orevttu06iqr.cloudfront.net/charging-pin/BPCL-+selected.png
